sample_id,genotype,condition,geno_cond
gsm3118997,WT,normal,WTnormal
gsm3118998,WT,normal,WTnormal
gsm3118999,WT,normal,WTnormal
gsm3119000,WT,normal,WTnormal
gsm3119001,WT,normal,WTnormal
gsm3119002,shank3,normal,shank3normal
gsm3119003,shank3,normal,shank3normal
gsm3119004,shank3,normal,shank3normal
gsm3119005,shank3,normal,shank3normal
gsm3119006,shank3,normal,shank3normal
gsm3119007,WT,sleep_deprived,WTsleep_deprived
gsm3119008,WT,sleep_deprived,WTsleep_deprived
gsm3119009,WT,sleep_deprived,WTsleep_deprived
gsm3119010,WT,sleep_deprived,WTsleep_deprived
gsm3119011,WT,sleep_deprived,WTsleep_deprived
gsm3119012,shank3,sleep_deprived,shank3sleep_deprived
gsm3119013,shank3,sleep_deprived,shank3sleep_deprived
gsm3119014,shank3,sleep_deprived,shank3sleep_deprived
gsm3119015,shank3,sleep_deprived,shank3sleep_deprived
gsm3119016,shank3,sleep_deprived,shank3sleep_deprived
